"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"1","D1",11,"Leverkusen","Kaiserslautern",1,"H",0.7,0.2,4,-3,34,16,8,-4,13,10,1.44,4.5,6.5,0.196463198194705,0.235848439287608,0.567688362517687,1,1.76152985691836,4.24001109789214,5.09001181487919
"2","D1",11,"Kaiserslautern","Stuttgart",1,"D",0.2,0.5,-4,5,-11,-8,-10,10,3,-5,3,3.4,2.3,0.42227579101668,0.234365245950661,0.343358963032659,1,2.91240394940522,4.26684424110613,2.36812060097592
"3","D1",11,"Ein Frankfurt","Hoffenheim",1,"A",0.8,0.5,7,3,2,17,-2,14,-9,-5,2.25,3.4,3.1,0.317546158308513,0.220741784941884,0.461712056749602,1,2.16585203999194,4.53017991253117,3.14914847443516
"4","D1",11,"M'gladbach","Mainz",1,"A",0.3,0.2,-3,-4,-18,-19,-1,-7,-14,-4,2.4,3.4,2.8,0.289733192812155,0.292613055306893,0.417653751880952,1,2.39432782657018,3.41748251441207,3.45145128279568
"5","D1",11,"Nurnberg","Kaiserslautern",1,"A",0.6,0.3,0,-3,26,-3,0,-9,3,3,1.95,3.5,3.75,0.194136394020977,0.256805712852789,0.549057893126234,1,1.8213015649519,3.89399436987307,5.15101769064458
"6","D1",11,"Mainz","Nurnberg",1,"H",0.4,0.6,-2,-1,-12,34,-4,0,-6,7,1.85,3.4,4.33,0.366332173286078,0.265617836495345,0.368049990218577,1,2.71702221593898,3.76480741351692,2.72976296629855
"7","D1",11,"Leverkusen","FC Koln",1,"H",0.8,0.5,4,-4,33,-18,12,1,2,-4,1.4,4.5,8,0.140745651762051,0.200748195657596,0.658506152580353,1,1.51858869667581,4.98136482235506,7.10501523479125
"8","D1",11,"Hamburg","Leverkusen",1,"A",0.4,0.8,-1,4,1,26,-1,13,-9,7,2.5,3.3,2.75,0.404742407579625,0.23883324257259,0.356424349847785,1,2.80564445281884,4.18702182840424,2.47070724804954
"9","D1",11,"Hoffenheim","Nurnberg",1,"D",0.4,0.2,2,-8,7,14,20,-11,0,9,1.62,3.8,5.5,0.19659963757246,0.277677054585591,0.525723307841949,1,1.90214126914958,3.60130584607509,5.08647936663379
"10","D1",11,"Nurnberg","Leverkusen",1,"H",0.6,0.7,3,4,32,9,15,6,4,2,3.4,3.4,2.1,0.231101652713493,0.25025228665007,0.518646060636437,1,1.92809716663593,3.9959674829997,4.32710016678135
"11","D1",11,"Dortmund","St Pauli",1,"H",0.7,0.8,5,6,35,32,22,12,-3,13,1.25,5.5,12,0.282679381793217,0.26273981669841,0.454580801508373,1,2.19982893400213,3.80604665317197,3.53757671909553
"12","D1",11,"Hamburg","Werder Bremen",1,"H",0.6,0.4,0,-4,10,-6,5,-5,3,8,1.91,3.6,3.75,0.226883480990274,0.249049540096476,0.52406697891325,1,1.90815304195217,4.01526539503998,4.40754873662603
"13","D1",11,"Leverkusen","Stuttgart",1,"H",0.6,0.5,4,-2,-3,-27,-1,-12,3,-3,1.62,4,5,0.177484593460299,0.231137873347681,0.59137753319202,1,1.69096718064753,4.32642208529705,5.63429185882373
"14","D1",11,"Hoffenheim","Mainz",1,"A",0.6,0.3,-2,-4,1,-5,-1,-5,-10,-13,2,3.4,3.75,0.231371639078935,0.282136442635293,0.486491918285772,1,2.05553260478335,3.5443843789179,4.32205089604278
"15","D1",11,"Ein Frankfurt","Kaiserslautern",1,"D",0.1,0.2,-9,-5,7,8,-12,-1,-1,10,2.3,3.4,3,0.362101527887496,0.257275540646118,0.380622931466385,1,2.62727207776843,3.88688329053206,2.76165639464161
"16","D1",11,"M'gladbach","Hoffenheim",1,"H",0.4,0.5,-2,-3,-6,8,6,-3,-5,-8,2.6,3.4,2.6,0.260468557209024,0.280277252584512,0.459254190206465,1,2.17744338826922,3.56789568464344,3.83923499525322
"17","D1",11,"Stuttgart","Schalke 04",1,"H",0.4,0.4,-3,-1,-33,-13,-8,-7,-12,22,2.1,3.4,3.4,0.411825158662758,0.272054460648036,0.316120380689206,1,3.16335187823006,3.67573462172975,2.42821493287858
"18","D1",11,"Hannover","Mainz",1,"H",0.6,0.6,-2,2,-13,-9,-4,5,8,0,2.2,3.3,3.25,0.349877790317967,0.238811920649745,0.411310289032288,1,2.43125452162346,4.18739565964404,2.85814083566495
"19","D1",11,"M'gladbach","Dortmund",1,"H",0.3,0.6,1,5,-8,50,3,12,-8,11,5.25,4.2,1.57,0.466709120567508,0.249248447494048,0.284042431938444,1,3.52060075382228,4.0120610982898,2.14266221920845
"20","D1",11,"Ein Frankfurt","FC Koln",1,"A",0.3,0.4,-4,-6,-55,-33,-18,-19,-19,-15,2,3.4,3.75,0.275382322520852,0.293227228054172,0.431390449424976,1,2.31808562598675,3.41032450034025,3.63131515068212
"21","D1",11,"Nurnberg","Hoffenheim",1,"A",0.4,0.3,-1,-2,12,8,3,4,12,-14,1.8,3.6,4.33,0.248204456645572,0.238549096567797,0.51324644678663,1,1.9483817301822,4.19200916871128,4.0289365207812
