"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"1","E0",11,"Birmingham","Everton",1,"A",0.5,0.3,-1,-2,-15,18,-16,15,-21,12,2.88,3.1,2.63,0.407191960514649,0.239079052840647,0.353728986644704,1,2.82702305368157,4.18271692194853,2.45584416434967
"2","E0",11,"Stoke","Blackburn",1,"H",0.5,0.4,-1,-1,5,-16,-1,-18,4,-8,2.25,3.2,3.4,0.229766668495095,0.242059050867903,0.528174280637002,1,1.89331445445234,4.13122333750586,4.35224136968913
"3","E0",11,"Aston Villa","Chelsea",1,"D",0.5,0.8,0,9,-23,31,-20,15,-16,13,5,3.6,1.73,0.585124386554357,0.220693573864179,0.194182039581464,1,5.14980686244401,4.53116954196151,1.70903832241335
"4","E0",11,"Fulham","Tottenham",1,"A",0.6,0.5,1,1,9,16,0,14,1,4,2.88,3.25,2.5,0.300632442952414,0.251673981996767,0.447693575050819,1,2.23367065271483,3.97339443698573,3.32632097247829
"5","E0",11,"Everton","Stoke",1,"H",0.6,0.5,3,0,-7,-5,-1,-7,-2,6,1.57,3.75,6.5,0.271979803316062,0.237783504247231,0.490236692436707,1,2.03983099475792,4.20550619424075,3.67674359569236
"6","E0",11,"Man United","Tottenham",1,"H",0.7,0.7,2,3,17,25,9,17,6,7,1.57,4,6,0.312129039056023,0.25575311804627,0.432117842897707,1,2.31418354144826,3.910020756107,3.20380315469626
"7","E0",11,"Tottenham","Sunderland",1,"D",0.5,0.6,-2,-1,1,11,5,2,15,-8,1.53,4,6.5,0.272099858053427,0.269698840384906,0.458201301561667,1,2.18244687780621,3.70783945000591,3.67512135858464
"8","E0",11,"Everton","Bolton",1,"D",0.8,0.6,5,2,11,1,10,0,8,-11,1.62,3.75,6,0.207642776372886,0.237689893367433,0.554667330259682,1,1.80288245844915,4.20716247473826,4.81596334564607
"9","E0",11,"Newcastle","Blackburn",1,"A",0.7,0.3,5,-2,9,-40,7,-29,-1,-15,1.91,3.4,4.2,0.1260992403702,0.194232562250094,0.679668197379706,1,1.47130615181828,5.14846732399277,7.93026188789258
"10","E0",11,"Newcastle","Fulham",1,"D",0.7,0.3,5,-1,12,-16,6,-4,2,-3,1.91,3.4,4.2,0.161036143993259,0.211117454380745,0.627846401625996,1,1.59274624718753,4.73669978132896,6.20978604680114
"11","E0",11,"Wigan","West Brom",1,"H",0.3,0.4,-3,-2,6,-3,13,-3,0,1,2.5,3.25,2.88,0.241915967795655,0.261941008609709,0.496143023594636,1,2.01554784093272,3.81765346826619,4.13366678153587
"12","E0",11,"Wolves","Sunderland",1,"H",0.2,0.6,-4,1,-8,-6,-8,-11,16,-22,2.6,3.2,2.8,0.285083348285128,0.284677091526985,0.430239560187887,1,2.32428649648883,3.51275192055701,3.50774608904847
"13","E0",11,"Newcastle","Chelsea",1,"D",0.5,0.4,0,-4,-6,37,-10,16,-4,17,5,3.6,1.73,0.401318091435313,0.229297517927347,0.36938439063734,1,2.70720697827699,4.36114620445586,2.49178898569836
"14","E0",11,"Tottenham","Liverpool",1,"H",0.5,0.7,-1,4,4,1,4,-2,26,6,2,3.4,3.8,0.281638646608792,0.269763824243251,0.448597529147958,1,2.22916965659474,3.70694626236572,3.55064907476652
"15","E0",11,"Arsenal","Fulham",1,"H",0.6,0.3,3,-4,14,-16,15,-5,1,3,1.29,5.25,12,0.149711673589393,0.212447566892517,0.63784075951809,1,1.56778942875261,4.70704378791934,6.67950585298145
"16","E0",11,"Wigan","Stoke",1,"D",0.3,0.7,-4,4,-3,4,3,2,-11,9,2.75,3.2,2.63,0.395848586430236,0.276244524936225,0.327906888633539,1,3.04964620952985,3.61998124752288,2.52621844381965
"17","E0",11,"Liverpool","Aston Villa",1,"H",0.5,0.4,2,-3,-3,-5,-1,0,6,3,1.62,3.75,6,0.220939199021808,0.237693330220213,0.541367470757979,1,1.84717415436853,4.20710164258097,4.52613209619401
"18","E0",11,"West Ham","Man City",1,"A",0.4,0.7,-2,4,-22,22,-23,16,-9,1,4.5,3.6,1.8,0.490640552193248,0.253898213197204,0.255461234609547,1,3.91448824526517,3.93858620510769,2.03815195366512
