"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"1","I1",11,"Bologna","Sampdoria",1,"D",0.5,0.5,-1,1,-24,-33,-13,-4,-21,-7,2.6,3.1,2.8,0.323869597122671,0.273620897091557,0.402509505785772,1,2.4844133756489,3.65469162125211,3.08766246935254
"2","I1",11,"Fiorentina","Palermo",1,"A",0.4,0.4,0,0,12,-7,5,11,2,7,2,3.25,3.9,0.304799836022278,0.271186197843394,0.424013966134328,1,2.3584128822851,3.687503301984,3.28084166005558
"3","I1",11,"Bari","Lazio",1,"A",0.4,0.9,-4,5,-33,19,-1,20,-7,-7,2.7,3,2.8,0.457724293865952,0.32171426980647,0.220561436327578,1,4.53388414879018,3.10834828868971,2.18472126867895
"4","I1",11,"Inter","Sampdoria",1,"D",0.7,0.5,5,0,35,-12,-1,0,12,-5,1.57,3.75,6,0.154589255322499,0.211254387765772,0.634156356911729,1,1.5768981720374,4.73362949085227,6.46875488153321
"5","I1",11,"Catania","Fiorentina",1,"D",0.4,0.5,0,1,27,2,3,3,22,-8,2.63,3.1,2.75,0.213016330222859,0.253832341331549,0.533151328445593,1,1.87564007936641,3.93960830504978,4.69447576603068
"6","I1",11,"Cesena","Sampdoria",1,"A",0.1,0.6,-7,1,-34,-20,-22,-3,-24,-6,3.2,3,2.4,0.46953367252807,0.285797040239968,0.244669287231961,1,4.08714968402201,3.49898655059672,2.12977270536485
"7","I1",11,"Parma","Chievo",1,"D",0.3,0.5,-3,0,-26,9,-15,1,1,16,2.1,3.2,3.6,0.467934213141107,0.265731471840718,0.266334315018175,1,3.75467952723913,3.76319746047773,2.13705254267964
"8","I1",11,"Napoli","Parma",1,"H",0.7,0.3,5,-3,14,-24,8,-14,8,1,1.62,3.75,5.5,0.119977830674857,0.184875231059628,0.695146938265516,1,1.43854478089932,5.40905341547604,8.33487315427488
"9","I1",11,"Catania","Udinese",1,"H",0.3,0.9,-2,5,18,8,-1,9,11,-2,2.6,3.1,2.8,0.34707447009173,0.271647841354664,0.381277688553606,1,2.62276033982881,3.68123668869651,2.88122603698194
"10","I1",11,"Genoa","Bologna",1,"H",0.4,0.4,-1,-3,30,-33,7,-14,-1,-3,1.73,3.5,5,0.140646912611875,0.203825453890002,0.655527633498123,1,1.52548870390658,4.90615858282188,7.1100032089547
"11","I1",11,"Lazio","Napoli",1,"H",0.6,0.7,1,3,-30,14,-14,4,-13,-6,2.1,3.25,3.5,0.39699357706135,0.299862498065425,0.303143924873226,1,3.29876312190059,3.33486183317868,2.5189324406764
