"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"1","SP1",11,"Sociedad","Espanol",1,"H",0.3,0.6,-4,-3,-39,25,-18,11,4,13,2.2,3.25,3.25,0.377340473770146,0.278958214766581,0.343701311463273,1,2.909503009292,3.58476627346053,2.65012652899022
"2","SP1",11,"Osasuna","Levante",1,"D",0.3,0.3,-2,-6,-22,-48,-7,-24,-1,-5,1.73,3.5,5,0.139375889618509,0.218628473132702,0.641995637248789,1,1.55764298381435,4.57396964663897,7.1748420959833
"3","SP1",11,"Sociedad","La Coruna",1,"H",0.2,0.2,-5,-8,-26,15,-18,9,0,4,2.1,3.25,3.5,0.285350483801023,0.298985550864588,0.41566396533439,1,2.40578949198911,3.34464323479266,3.50446225525697
"4","SP1",11,"Sevilla","Valencia",1,"H",0.4,0.5,-6,1,3,3,-3,0,-20,8,2.2,3.4,3.2,0.430065557159001,0.304343422436235,0.265591020404765,1,3.76518753712375,3.28576182785589,2.32522689472267
"5","SP1",11,"Hercules","Sociedad",1,"H",0.2,0.8,-8,5,-55,-8,-26,-1,-2,1,2.1,3.3,3.5,0.475187439600175,0.293632211906903,0.231180348492922,1,4.32562718465932,3.40562090754898,2.10443272835958
"6","SP1",11,"Getafe","Zaragoza",1,"D",0.2,0.3,-6,-3,-9,7,-1,-10,6,11,1.8,3.5,4.5,0.28221741542418,0.238547929069696,0.479234655506124,1,2.08666044600612,4.19202968518679,3.54336743711218
"7","SP1",11,"Sevilla","Getafe",1,"A",0.6,0.3,-2,-4,-27,-2,-10,-7,-10,9,1.67,3.75,5,0.310637846965706,0.269164802532743,0.420197350501551,1,2.37983413937854,3.71519600850618,3.2191827549925
"8","SP1",11,"Sp Gijon","Sociedad",1,"A",0.2,0.6,-5,2,-4,-14,-6,-6,-5,1,2.1,3.25,3.6,0.330198443189139,0.282641518096,0.387160038714861,1,2.5829111995117,3.53805062588274,3.02848187393541
"9","SP1",11,"Espanol","Sp Gijon",1,"H",0.7,0.2,2,-4,-11,-2,-2,-6,-12,2,1.62,3.75,5.5,0.237880210925729,0.242081486620761,0.52003830245351,1,1.9229352824245,4.13084046185893,4.20379650795005
"10","SP1",11,"Ath Bilbao","Espanol",1,"H",0.4,0.9,-7,6,6,-17,-1,-2,12,-16,1.95,3.4,3.9,0.299697052931346,0.312754937795378,0.387548009273275,1,2.58032547212715,3.19739156493911,3.33670281445536
