"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"1","D1",14,"M'gladbach","Braunschweig",1,"H",0.4,0.1,1,-8,-7,-21,-4,-7,-11,-14,1.36,4.75,8,0.230200670147653,0.261439003201806,0.508360326650541,14,1.96710865812199,3.82498398384765,4.34403600718707
"2","D1",14,"Hamburg","Werder Bremen",1,"A",0.3,0.4,-5,-5,-33,-53,-7,-16,5,-5,1.95,3.4,3.9,0.184524747667664,0.219648920712177,0.595826331620159,14,1.67834140072464,4.55271984382012,5.4193272861212
"3","D1",14,"Hannover","Augsburg",1,"H",0.6,0.6,1,-2,8,47,1,11,6,22,2.5,3.3,2.75,0.360879368718464,0.178716570753758,0.460404060527778,14,2.17200517053143,5.59545203772868,2.77100905920765
"4","D1",14,"Mainz","Leverkusen",1,"A",0.6,0.8,0,5,-6,14,-8,11,-13,5,3.5,3.5,2.05,0.429746936553716,0.200745910248409,0.369507153197875,14,2.70630755411787,4.98142153313394,2.32695085163221
"5","D1",14,"Nurnberg","Dortmund",1,"D",0.3,1,-3,11,-64,70,-22,31,-20,10,8,5.25,1.33,0.730808307076027,0.177683611239848,0.091508081684125,14,10.9279965397142,5.62798106714603,1.36834788318295
"6","D1",14,"Schalke 04","Bayern Munich",1,"A",0.5,0.9,-2,7,-20,56,-1,28,-18,22,5.5,4.33,1.53,0.675503443592906,0.152173428618895,0.172323127788199,14,5.80305158590838,6.57144949072819,1.48037735334278
"7","D1",14,"Wolfsburg","Hoffenheim",1,"H",0.4,0.6,0,1,23,16,4,2,5,-2,1.73,4,4.2,0.271417296387529,0.245249175589234,0.483333528023238,14,2.06896468384855,4.07748567389638,3.6843635733966
"8","D1",14,"Freiburg","Hertha",1,"D",0.2,0.5,-4,3,-33,9,-17,4,-13,2,2.38,3.4,2.9,0.42818968530246,0.318792064351021,0.253018250346519,14,3.95228406895731,3.13684094375356,2.33541356628811
"9","D1",14,"Stuttgart","Ein Frankfurt",1,"D",0.4,0.4,2,-2,-8,2,1,-11,6,13,2.15,3.4,3.3,0.159661934486867,0.265028296703271,0.575309768809862,14,1.73819402036001,3.77318200523929,6.26323364560169
"10","D1",14,"Augsburg","M'gladbach",1,"D",0.6,0.6,1,6,46,9,10,5,16,-10,2.5,3.25,2.8,0.284868785984191,0.30627912075133,0.40885209326448,14,2.4458722762442,3.26499565999443,3.51038811270638
"11","D1",14,"Bayern Munich","Wolfsburg",1,"H",0.9,0.6,9,3,45,36,27,12,20,10,1.14,8,15,0.227442422097671,0.210009418644691,0.562548159257639,14,1.7776255837716,4.76169119677377,4.39671715934581
"12","D1",14,"Dortmund","Freiburg",1,"H",0.9,0.3,7,-2,76,-23,29,-16,15,-3,1.18,7,13,0.0759776428339605,0.188265479243373,0.735756877922666,14,1.35914461693297,5.31164823216096,13.1617665763253
"13","D1",14,"Ein Frankfurt","Hamburg",1,"D",0.5,0.2,3,-7,10,-27,-6,-4,17,-1,1.8,3.6,4.33,0.158605275684733,0.174796284841575,0.666598439473693,14,1.50015352689626,5.72094539026583,6.30496051082026
"14","D1",14,"Hertha","Mainz",1,"H",0.4,0.4,-2,-4,3,1,1,-8,-6,-7,2,3.6,3.5,0.246967348765108,0.266754766200014,0.486277885034878,14,2.05643733917341,3.74876150947645,4.04911825389155
"15","D1",14,"Hoffenheim","Schalke 04",1,"D",0.5,0.4,0,-6,-3,-27,-5,-7,1,-14,2.8,3.3,2.5,0.196630655829458,0.183953412998992,0.619415931171549,14,1.61442408836438,5.43615899100214,5.08567698043645
"16","D1",14,"Leverkusen","Hannover",1,"H",0.8,0.6,6,0,3,6,11,3,2,8,1.33,5,9,0.215477846556912,0.181773167815061,0.602748985628027,14,1.65906542166647,5.50136201079698,4.64084830983253
"17","D1",14,"Braunschweig","Stuttgart",1,"A",0.1,0.5,-10,3,-23,-16,-10,-2,-8,-3,4,3.5,1.91,0.429160578267091,0.331487986323483,0.239351435409425,14,4.17795697898966,3.01670057817464,2.33013014391467
"18","D1",14,"Werder Bremen","Nurnberg",1,"D",0.4,0.3,-4,-3,-55,-61,-18,-22,-8,-29,2.05,3.5,3.4,0.194836908313077,0.357111061985284,0.448052029701639,14,2.23188365124896,2.80024929622933,5.13249778318764
"19","D1",14,"Hannover","Hertha",1,"D",0.6,0.5,1,0,-4,4,1,0,11,-7,2.25,3.4,3.1,0.267450106267147,0.271671818225686,0.460878075507167,14,2.16977125435955,3.68091179472016,3.73901515298384
"20","D1",14,"Leverkusen","Bayern Munich",1,"D",0.8,0.9,7,9,18,46,17,25,4,27,5,4.2,1.6,0.415788245178886,0.178822451103756,0.405389303717358,14,2.46676464038432,5.59213898382246,2.40507039723975
"21","D1",14,"Mainz","Hoffenheim",1,"D",0.2,0.4,-7,-4,-4,-13,-12,-7,-9,-6,2.25,3.5,3,0.321871708554758,0.257319986836508,0.420808304608734,14,2.37637895699277,3.88621191961807,3.10682788645861
"22","D1",14,"M'gladbach","Dortmund",1,"H",0.5,0.9,3,11,-4,85,-1,37,-8,24,5,3.75,1.67,0.67120217107068,0.180404772129041,0.148393056800279,14,6.73885976583051,5.54309061893726,1.48986407240732
"23","D1",14,"Schalke 04","Augsburg",1,"H",0.5,0.7,-2,2,-13,43,-2,10,-1,12,1.73,3.8,4.5,0.444955851192273,0.234821250389347,0.320222898418381,14,3.12282477280395,4.25855836446635,2.24741397898346
"24","D1",14,"Stuttgart","Werder Bremen",1,"D",0.7,0.3,8,-5,-15,-42,4,-17,-14,-4,1.7,3.8,4.75,0.0934231306762883,0.176667685792375,0.729909183531336,14,1.37003345424694,5.66034470602183,10.7039872541309
"25","D1",14,"Wolfsburg","Braunschweig",1,"A",0.4,0.1,-2,-13,15,-12,4,-13,-4,-3,1.29,5.5,9.5,0.179024037128313,0.188426048279422,0.632549914592265,14,1.58090290889469,5.30712186097047,5.58584208043116
"26","D1",14,"Freiburg","Ein Frankfurt",1,"D",0.3,0.6,-6,4,-45,14,-22,0,-11,19,2.7,3.4,2.5,0.431517038849051,0.308483075882328,0.259999885268621,14,3.84615554336434,3.24166892183561,2.31740559461387
"27","D1",14,"Nurnberg","Hamburg",1,"A",0.3,0.3,-3,-3,-58,-15,-21,-3,-28,-2,2.38,3.5,2.8,0.389681814111398,0.293678747005684,0.316639438882918,14,3.15816628379563,3.40508126718699,2.56619622416901
"28","D1",14,"Hoffenheim","Leverkusen",1,"A",0.4,0.7,-4,5,-18,-13,-9,1,-10,-12,3.25,3.6,2.1,0.383132700606331,0.284600633364643,0.332266666029027,14,3.00963082439525,3.51369562385603,2.61006173165966
"29","D1",14,"Bayern Munich","Mainz",1,"H",0.8,0.1,7,-9,47,3,25,-7,30,0,1.1,9,23,0.10575968558749,0.183159367898488,0.711080946514022,14,1.40630965419952,5.45972620168807,9.45539876035988
"30","D1",14,"Braunschweig","Schalke 04",1,"A",0.3,0.7,-9,2,-11,-4,-13,5,-2,4,4.75,3.6,1.73,0.476920990549879,0.210077735786396,0.313001273663724,14,3.19487517828556,4.76014269792389,2.09678336624903
"31","D1",14,"Dortmund","Hannover",1,"H",0.7,0.5,8,0,81,-6,35,0,27,4,1.22,6.5,11,0.09894370207729,0.143316365220859,0.757739932701851,14,1.31971400323899,6.97757020601896,10.1067574692005
"32","D1",14,"Ein Frankfurt","Nurnberg",1,"D",0.5,0.3,2,-6,1,-46,1,-24,16,-18,1.57,4,5.5,0.0779784708924892,0.205060000583035,0.716961528524476,14,1.39477497775651,4.87662146277557,12.8240524410734
"33","D1",14,"Hertha","M'gladbach",1,"H",0.4,0.7,-1,7,-1,-16,-1,2,-3,-12,2.38,3.4,2.9,0.316308908979183,0.301318071489296,0.382373019531521,14,2.61524728189554,3.31875215800166,3.16146643870158
"34","D1",14,"Werder Bremen","Freiburg",1,"D",0.4,0.3,-4,-6,-30,-41,-14,-24,-11,-16,1.95,3.4,3.8,0.169789044989233,0.28756892617169,0.542642028839076,14,1.84283551006801,3.47742718002487,5.88966149178477
"35","D1",14,"Augsburg","Wolfsburg",1,"A",0.5,0.4,-2,-2,32,21,4,2,11,-2,2.38,3.4,2.88,0.314199627347165,0.267560416269197,0.418239956383638,14,2.39097194023885,3.73747362911068,3.1826899619301
"36","D1",14,"Hamburg","Stuttgart",1,"D",0.5,0.8,3,9,-5,6,6,11,-6,0,2.3,3.4,3,0.356213700604197,0.27013328617619,0.373653013219613,14,2.6762797692528,3.70187626321536,2.80730358855888
"37","D1",14,"Stuttgart","Nurnberg",1,"D",0.7,0.4,5,-5,-6,-34,4,-17,-8,-13,1.62,4,5,0.108725821885011,0.182861467395792,0.708412710719197,14,1.41160651816196,5.46862066810151,9.19744714422676
