"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"1","SP1",14,"Ath Madrid","Osasuna",1,"H",1,0.2,12,-6,31,3,20,3,24,-1,1.2,6,15,0.0834247028459391,0.0941836344314468,0.822391662722614,14,1.21596563453646,10.6175558634644,11.9868572003991
"2","SP1",14,"Barcelona","Sociedad",1,"H",1,0.5,14,1,40,-7,26,-3,22,-4,1.13,8,19,0.104934131091002,0.0938299814014723,0.801235887507526,14,1.24807190440606,10.6575743175444,9.52978777832323
"3","SP1",14,"Levante","Valladolid",1,"D",0.5,0.3,-6,-3,-42,-16,-17,-4,-5,-10,2.1,3.3,3.5,0.274142483038408,0.261231707994734,0.464625808966858,14,2.15226959135912,3.82801922353223,3.64773817219675
"4","SP1",14,"Malaga","Almeria",1,"H",0.4,0.3,3,-3,2,-19,1,-9,-21,-13,1.67,3.75,5,0.143828225434528,0.233088534318833,0.623083240246639,14,1.60492199983451,4.29021531634901,6.95273821935047
"5","SP1",14,"Elche","Real Madrid",1,"A",0.3,0.9,-4,7,11,53,0,19,13,1,10,5.5,1.29,0.454718472343342,0.19803595092813,0.347245576728528,14,2.87980630141125,5.04958819503896,2.19916291248651
"6","SP1",14,"Granada","Valencia",1,"A",0.4,0.4,-1,-2,-41,-10,-16,-5,-7,4,3.1,3.25,2.3,0.301968659346861,0.259096483149391,0.438934857503748,14,2.2782423927028,3.85956608844982,3.31160194625143
"7","SP1",14,"Sevilla","Vallecano",1,"H",0.2,0.2,-5,-12,-21,8,-11,0,6,-8,1.44,4.2,7.5,0.157284491837697,0.238275807947463,0.60443970021484,14,1.65442475013564,4.19681716165028,6.35790590868875
"8","SP1",14,"Ath Bilbao","Betis",1,"H",0.6,0.4,1,0,-7,27,-7,9,-3,2,1.95,3.5,3.75,0.311616099394896,0.213029673768964,0.47535422683614,14,2.10369434738341,4.69418171801044,3.20907681580581
"9","SP1",14,"Getafe","Celta",1,"H",0.3,0.5,-5,0,-27,1,-20,0,-12,-4,2.1,3.3,3.5,0.31782425022896,0.296531515519448,0.385644234251592,14,2.59306353157507,3.37232283134646,3.14639301211158
"10","SP1",14,"Villarreal","Espanol",1,"H",0.8,0.8,5,4,16,-2,13,1,21,-5,1.73,3.5,5,0.230483985244525,0.154991396807474,0.614524617948002,14,1.62727410878862,6.45197101644406,4.33869623930305
"11","SP1",14,"Valladolid","Malaga",1,"D",0.4,0.6,-2,6,-31,9,-5,5,-17,-14,2.9,3.2,2.45,0.406240132589359,0.225610443010733,0.368149424399908,14,2.71628837021822,4.43241893706323,2.46159825132499
