"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"1","I1",14,"Genoa","Napoli",1,"A",0.3,0.9,-3,8,-40,20,-7,9,-11,-1,4.75,3.5,1.75,0.543076171070304,0.28563340696545,0.171290421964246,14,5.83803804399952,3.50099104521398,1.84136232313265
"2","I1",14,"Milan","Sampdoria",1,"H",0.4,0.2,0,-6,26,17,12,-6,6,1,1.5,4,7,0.126801741347542,0.281723132939433,0.591475125713025,14,1.69068817356351,3.54958426582239,7.88632702810579
"3","I1",14,"Atalanta","Udinese",1,"H",0.2,0.5,-4,1,-32,2,-15,2,-4,2,2.5,3.2,2.88,0.408007169988977,0.28544065601823,0.306552173992793,14,3.26208745146107,3.50335517704294,2.45093732060399
"4","I1",14,"Cagliari","Inter",1,"D",0.5,0.9,-1,13,3,29,0,14,13,19,3.8,3.3,2,0.413077676941561,0.260957678732984,0.325964644325455,14,3.06781737654211,3.83203899136157,2.42085219274987
"5","I1",14,"Catania","Chievo",1,"H",0.1,0.3,-8,-5,-27,-17,-21,-7,8,6,2.05,3.3,3.6,0.309891552861242,0.223867925106725,0.466240522032033,14,2.14481571795103,4.46691949962582,3.2269353287205
"6","I1",14,"Roma","Bologna",1,"H",1,0.3,11,-4,34,-13,25,-8,10,-3,1.33,5,9,0.0546500639644189,0.161798184507454,0.783551751528128,14,1.27623988849459,6.18053906503464,18.2982402481921
"7","I1",14,"Sassuolo","Lazio",1,"D",0.1,0.6,-14,1,-9,27,-12,17,6,-7,4.5,3.4,1.83,0.515123488513371,0.277349139227771,0.207527372258859,14,4.81864145975237,3.60556374101006,1.94128208536164
"8","I1",14,"Torino","Juventus",1,"A",0.6,0.9,1,6,1,50,2,17,7,5,6.5,4.1,1.5,0.470883985030715,0.244499629928736,0.284616385040549,14,3.51350116353116,4.08998574063883,2.12366534388459
"9","I1",14,"Verona","Livorno",1,"H",0.5,0.6,-1,3,-56,-23,-21,-2,-19,-19,1.91,3.3,4.2,0.420012216296451,0.307942947616515,0.272044836087034,14,3.6758646640147,3.24735477055091,2.38088312958542
"10","I1",14,"Fiorentina","Parma",1,"D",0.7,0.4,5,-3,14,-6,8,-7,-20,1,1.57,3.8,6,0.140759225156307,0.285827589245447,0.573413185598246,14,1.74394315498116,3.49861258194105,7.10433009907197
