"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","iter","H_odds","D_odds","A_odds"
"1","E0",16,"Aston Villa","West Brom",1,"A",0.3,0.4,-2,-3,-9,-24,-3,-12,-5,1,2.3,3.25,3.5,0.21320393069938,0.265496498651445,0.521299570649175,16,1.91828279995454,3.76652801479255,4.69034504532663
"2","E0",16,"Bournemouth","Sunderland",1,"H",0.3,0.2,-3,-5,0,-49,0,-19,4,-7,1.7,4,5.5,0.136315343699499,0.2385486698012,0.625135986499301,16,1.59965195028989,4.19201666826888,7.33593132556269
"3","E0",16,"Chelsea","Arsenal",1,"H",0.3,0.7,-5,2,-1,68,-17,19,-2,21,2.45,3.5,3,0.540271906711134,0.252528912193402,0.207199181095464,16,4.82627390085709,3.95994261137964,1.85091985642457
"4","E0",16,"Man City","West Ham",1,"A",1,0.6,11,5,46,-18,28,-5,9,5,1.29,6.5,11,0.102086630099232,0.17189817709882,0.726015192801948,16,1.37738164423343,5.81739735043916,9.79560201985277
"5","E0",16,"Newcastle","Watford",1,"A",0.2,0.5,-5,-1,-58,8,-21,-2,-14,-13,2.5,3.3,3.1,0.427977711552831,0.29178078078559,0.280241507661579,16,3.56835077124836,3.42723053008359,2.3365702769233
"6","E0",16,"Stoke","Leicester",1,"D",0.2,0.8,-4,4,-35,13,-16,4,-23,-7,2.5,3.4,3,0.468995193797888,0.282688006112364,0.248316800089748,16,4.02711375001038,3.53746879378573,2.13221801251752
"7","E0",16,"Swansea","Everton",1,"D",0.6,0.6,2,3,21,-27,15,-4,6,-4,2.3,3.4,3.4,0.16326565880979,0.232086443711301,0.60464789747891,16,1.65385508519837,4.3087393817966,6.12498676874257
"8","E0",16,"Liverpool","Norwich",1,"D",0.5,0.5,-3,-1,2,22,2,4,-1,4,1.67,4,5.75,0.307048650039734,0.28829818785807,0.404653162102196,16,2.47125215778605,3.46863089022365,3.25681288574496
"9","E0",16,"Southampton","Man United",1,"A",0.5,0.7,0,3,37,20,16,5,0,8,3.1,3.3,2.5,0.243722391891585,0.270861604566668,0.485416003541748,16,2.06008865118514,3.69192230696495,4.10302882816295
"10","E0",16,"Tottenham","Crystal Palace",1,"H",0.5,0.6,0,2,18,-34,12,-6,13,5,2,3.6,4,0.167055141012913,0.231498345912875,0.601446513074212,16,1.66265823853336,4.31968529216339,5.9860474447937
"11","E0",16,"Leicester","Arsenal",1,"A",0.7,0.7,2,2,5,41,2,12,-9,20,4.5,4,1.8,0.380904131734333,0.262285520172732,0.356810348092935,16,2.80260930027607,3.8126389872435,2.62533250938182
"12","E0",16,"Liverpool","Aston Villa",1,"H",0.4,0.1,-4,-4,17,-3,5,-7,1,-7,1.53,4.33,7,0.191545456931663,0.277823650339607,0.530630892728729,16,1.8845491540411,3.59940558976032,5.22069286329649
