"","Div","year","HomeTeam","AwayTeam","enough_games","FTR","form_H","form_A","g_H","g_A","s_H","s_A","st_H","st_A","c_H","c_A","B365H","B365D","B365A","A","D","H","H_odds","D_odds","A_odds"
"1","I1",11,"Parma","Milan",1,"A",0.4,0.6,-1,3,5,20,0,8,3,12,3.8,3.3,2,0.397800699502021,0.287249878844074,0.314949421653905,3.175112990361,3.48128954492205,2.51382162286751
"2","I1",11,"Napoli","Roma",1,"H",0.6,0.4,2,-4,17,22,2,5,26,16,2.4,3.1,3.1,0.215354660725958,0.242462829953949,0.542182509320093,1.84439738060532,4.12434351356011,4.64350293896131
"3","I1",11,"Brescia","Udinese",1,"A",0.6,0.3,1,-5,-41,14,-15,2,-17,-1,2.7,3,2.8,0.340422925652408,0.303985882001426,0.355591192346166,2.81221813566886,3.28962645704483,2.93752248936683
"4","I1",11,"Cagliari","Inter",1,"A",0.5,0.7,2,5,-23,28,0,0,-14,11,4,3.2,2,0.454773128321151,0.264751084592381,0.280475787086468,3.56537015329494,3.77713277941668,2.19889861059209
"5","I1",11,"Cesena","Parma",1,"D",0.4,0.2,-3,-4,-35,-10,-15,-13,-18,5,2.5,3,3,0.337388027566148,0.2922847796489,0.370327192784952,2.70031480129707,3.42132081321931,2.96394631194772
"6","I1",11,"Inter","Sampdoria",1,"D",0.7,0.5,5,0,35,-12,-1,0,12,-5,1.57,3.75,6,0.159987531647366,0.22731310803804,0.612699360314594,1.63212182804719,4.39921836726043,6.25048708298178
"7","I1",11,"Parma","Roma",1,"D",0.3,0.5,-3,-1,-13,4,-15,2,2,5,3,3.2,2.38,0.381506862314634,0.286117629414006,0.33237550827136,3.00864526751945,3.4950660050137,2.62118482989511
"8","I1",11,"Roma","Lecce",1,"H",0.5,0.6,-1,-2,14,-10,3,-7,0,-8,1.36,4.6,8.5,0.185743747329345,0.238604385255376,0.575651867415278,1.73716104577247,4.19103780900635,5.38376130759806
"9","I1",11,"Brescia","Napoli",1,"A",0.2,0.5,-3,2,-26,7,-9,5,-6,8,3.2,3,2.4,0.474588206899442,0.291030394481734,0.234381398618824,4.26655018654575,3.43606722514601,2.10708986330098
"10","I1",11,"Bologna","Lecce",1,"H",0.3,0.5,-5,-4,-49,-22,-16,-16,-12,-16,1.91,3.25,4.33,0.273944236762263,0.267247213666804,0.458808549570933,2.17955833851653,3.74185379252175,3.65037794486558
"11","I1",11,"Inter","Brescia",1,"D",0.6,0,1,-5,29,-17,0,-7,18,0,1.25,5,15,0.130508192389742,0.238997516513747,0.630494291096511,1.58605718421474,4.18414389650146,7.66235422994485
"12","I1",11,"Bari","Milan",1,"A",0.2,0.8,-5,4,-13,23,-8,17,13,-2,4.33,3.25,1.91,0.456748671842456,0.292414502875898,0.250836825281645,3.98665546367515,3.41980301990836,2.18938786612372
"13","I1",11,"Juventus","Cesena",1,"H",0.8,0.1,7,-6,3,-33,13,-20,-11,-15,1.36,4.5,9,0.0815649456952589,0.185204968460172,0.73323008584457,1.36382837980271,5.39942318132276,12.2601687707386
"14","I1",11,"Napoli","Parma",1,"H",0.7,0.3,5,-3,14,-24,8,-14,8,1,1.62,3.75,5.5,0.118833373735669,0.192780092391245,0.688386533873086,1.45267222816471,5.18725760318918,8.41514440399869
"15","I1",11,"Palermo","Genoa",1,"H",0.5,0.4,2,-1,52,25,21,1,6,9,2,3.2,4,0.207387742470995,0.267065296421524,0.525546961107481,1.90277953066783,3.74440263635618,4.82188574929813
"16","I1",11,"Sampdoria","Catania",1,"D",0.7,0.3,2,-2,-16,30,-3,2,-11,22,1.83,3.4,4.5,0.367513341732749,0.287240892517297,0.345245765749954,2.89648736988205,3.48139845701038,2.72098965247141
"17","I1",11,"Brescia","Juventus",1,"D",0.1,0.8,-4,7,-36,10,-6,17,0,-6,4.75,3.3,1.8,0.529004983799299,0.28906609160227,0.181928924598431,5.49665207007235,3.45941647620127,1.89034135901335
"18","I1",11,"Cagliari","Napoli",1,"A",0.4,0.7,0,4,-36,9,-1,3,-12,-6,2.5,3.1,2.9,0.405232319843931,0.288373870608805,0.306393809547264,3.2637735125185,3.46772055973322,2.46772024596936
"19","I1",11,"Catania","Udinese",1,"H",0.3,0.9,-2,5,18,8,-1,9,11,-2,2.6,3.1,2.8,0.354624650147582,0.273675760480326,0.371699589372091,2.69034464549528,3.65395897044337,2.81988293702605
"20","I1",11,"Chievo","Bari",1,"D",0.4,0,-2,-7,12,-16,2,-14,20,12,2.05,3.2,3.75,0.156509340882552,0.234285794263847,0.609204864853601,1.64148393700091,4.26829122585992,6.38939499943599
"21","I1",11,"Lecce","Inter",1,"D",0.4,0.7,-6,2,-18,41,-10,2,-12,19,5.5,3.3,1.73,0.515483821800761,0.262825756733401,0.221690421465838,4.51079479838553,3.80480213365982,1.93992509116321
"22","I1",11,"Milan","Palermo",1,"H",0.8,0.6,4,3,20,43,17,11,0,6,1.57,3.6,6.5,0.27284468480267,0.284569397063823,0.442585918133507,2.25944829925282,3.51408131133553,3.66508880582824
"23","I1",11,"Parma","Sampdoria",1,"H",0.3,0.7,-3,2,-19,-9,-12,-1,3,-12,2.38,3.1,3.1,0.329296351637003,0.277633261710465,0.393070386652532,2.54407361621975,3.60187390314518,3.03677825468999
"24","I1",11,"Sampdoria","Chievo",1,"D",0.6,0.4,1,-2,-12,2,-2,-1,-20,15,1.91,3.3,4.2,0.339934743988575,0.28670631949445,0.373358936516975,2.67838774485724,3.48788963481273,2.94174107732162
"25","I1",11,"Udinese","Lecce",1,"H",0.7,0.3,3,-7,-4,-21,1,-14,-10,-12,1.6,3.6,6,0.124444816961172,0.212974168550769,0.662581014488059,1.50924940216201,4.69540511323381,8.03569023137385
"26","I1",11,"Catania","Bari",1,"H",0.4,0.1,-2,-5,2,4,-3,-8,-2,10,1.57,3.6,6.5,0.26649809275838,0.291840655792709,0.441661251448911,2.26417870419786,3.42652738798082,3.75237207009451
"27","I1",11,"Juventus","Fiorentina",1,"D",0.8,0.5,5,0,-8,-18,8,0,-19,-13,1.67,3.6,5.5,0.191797868225297,0.267367673159273,0.540834458615429,1.84899461206681,3.74016794245837,5.21382228724951
"28","I1",11,"Sampdoria","Milan",1,"D",0.6,0.8,1,4,-16,20,-3,-3,-17,4,3.6,3.1,2.15,0.387251938963941,0.261230377971747,0.351517683064312,2.84480709841571,3.82803871343078,2.58229823890724
"29","I1",11,"Bari","Cesena",1,"D",0.1,0.2,-5,-4,1,-18,-9,-2,-3,10,1.91,3.3,4.2,0.350075435037264,0.312311080065426,0.33761348489731,2.96196699697634,3.20193571035171,2.85652719361344
"30","I1",11,"Lazio","Inter",1,"H",0.4,0.4,-1,1,12,29,0,6,-2,7,2.7,3.1,2.7,0.370256986080067,0.309766789443056,0.319976224476877,3.12523220009512,3.22823502738284,2.7008268245984
"31","I1",11,"Cesena","Bologna",1,"A",0.3,0.4,-3,-3,-14,-27,-4,-14,8,-5,2.2,3,3.6,0.207119123581772,0.243991353134248,0.54888952328398,1.82186024250754,4.09850589848479,4.82813939488883
"32","I1",11,"Lecce","Genoa",1,"A",0.1,0.5,-8,-1,-7,5,-1,-1,-1,9,3.5,3.1,2.2,0.392534684146064,0.296780418426921,0.310684897427015,3.21869523842856,3.36949454179114,2.54754558103685
"33","I1",11,"Sampdoria","Bari",1,"H",0.5,0.2,0,-3,-31,-6,-7,-4,-14,-13,1.73,3.25,5.5,0.268041367650358,0.312970719813617,0.418987912536025,2.38670369736267,3.1951870788281,3.73076741387335
"34","I1",11,"Brescia","Sampdoria",1,"H",0.2,0.6,-5,3,12,-14,1,-4,15,-12,2.9,3.1,2.55,0.253648715597,0.276170641977513,0.470180642425487,2.1268421320822,3.62094968835038,3.94246033395577
"35","I1",11,"Roma","Bari",1,"H",0.6,0.2,1,-5,-6,-22,-2,-6,3,-21,1.4,4.5,7.5,0.13699086052906,0.25044002151574,0.6125691179552,1.63246884423112,3.99297202558797,7.29975705049223
"36","I1",11,"Catania","Brescia",1,"H",0.3,0.3,-6,-4,-6,-6,-4,-1,3,4,1.91,3.2,4.33,0.285946443635479,0.301387737380065,0.412665818984456,2.42326830572238,3.31798502717099,3.49715837443598
"37","I1",11,"Chievo","Juventus",1,"D",0.4,0.8,-1,5,-1,26,-4,11,-6,-15,4,3.2,2,0.390928821269486,0.304657329322336,0.304413849408178,3.28500165792107,3.28237630857051,2.55801042438529
